iter	Logloss
0	0.6749402727
1	0.6604651751
2	0.6477254813
3	0.637755127
4	0.6248050363
5	0.6154153878
6	0.6050997925
7	0.593827907
8	0.5847929164
9	0.5764566476
10	0.5694148908
11	0.5631836809
12	0.5559917341
13	0.549020037
14	0.5427174595
15	0.5372849819
16	0.5326133074
17	0.5295259312
18	0.5255244664
19	0.5217897688
20	0.5161746216
21	0.511355242
22	0.5086777169
23	0.5050921631
24	0.5018468802
25	0.4974126325
26	0.4938993617
27	0.4913113839
28	0.4876358468
29	0.4851731655
30	0.4828233991
31	0.4784258161
32	0.4750979178
33	0.4706228638
34	0.4691866629
35	0.465942034
36	0.4637053135
37	0.4611374337
38	0.4580728585
39	0.4556773594
40	0.4529571097
41	0.4518093436
42	0.4489109148
43	0.4464569092
44	0.4436710903
45	0.4420092337
46	0.4414021083
47	0.4393368966
48	0.4387707955
49	0.4380131313
50	0.4357468087
51	0.4340972464
52	0.4323886544
53	0.4299861363
54	0.4276300921
55	0.4264133562
56	0.4258023507
57	0.4244287109
58	0.4226628767
59	0.4207343401
60	0.4197382028
61	0.418395037
62	0.4163740758
63	0.4148589652
64	0.4134521048
65	0.4125010899
66	0.4098719134
67	0.4073857335
68	0.406191755
69	0.4050819615
70	0.4031264823
71	0.4020790318
72	0.4016194371
73	0.3998876953
74	0.399236799
75	0.3973116629
76	0.3959654018
77	0.3942170933
78	0.3930596924
79	0.391211635
80	0.3907227434
81	0.3887656512
82	0.3873766654
83	0.386025347
84	0.3850220163
85	0.3844727434
86	0.3835443551
87	0.382799421
88	0.3815917097
89	0.3806595285
90	0.379344744
91	0.3783234515
92	0.3771781267
93	0.3756829398
94	0.3742327881
95	0.3726871164
96	0.3723321533
97	0.3716920689
98	0.3704042271
99	0.3688507952
100	0.3681519863
101	0.3678689139
102	0.3672703334
103	0.3656098284
104	0.3643345206
105	0.3637476894
106	0.3627652631
107	0.3619684056
108	0.3600449698
109	0.3591298131
110	0.3580545044
111	0.3568913923
112	0.3558360944
113	0.3544517735
114	0.3536801801
115	0.3529081726
116	0.3514479501
117	0.349936785
118	0.3493320138
119	0.3481787763
120	0.3468723842
121	0.345677839
122	0.344447937
123	0.3434934344
124	0.3422099086
125	0.340985151
126	0.3388866098
127	0.3378330994
128	0.3365897042
129	0.335280195
130	0.3342178345
131	0.3335496957
132	0.3324934169
133	0.3319240025
134	0.3302839879
135	0.3295187814
136	0.3292189462
137	0.3282528251
138	0.3271430751
139	0.325979745
140	0.3248613412
141	0.3238737706
142	0.3230163574
143	0.3229751587
144	0.3224455261
145	0.3215797206
146	0.3207469831
147	0.3206440953
148	0.3204426357
149	0.3198978751
150	0.3189431545
151	0.3181937953
152	0.3173775809
153	0.3162304252
154	0.3153320748
155	0.3149803816
156	0.3138142613
157	0.3130608913
158	0.3123064532
159	0.3120881435
160	0.310730896
161	0.3100951494
162	0.3092369734
163	0.3081411743
164	0.3077627128
165	0.3068177795
166	0.3065815735
167	0.3054155404
168	0.3044161769
169	0.3037052264
170	0.3024761091
171	0.3022731018
172	0.3020500837
173	0.3017038836
174	0.3011540658
175	0.3008691842
176	0.2987287249
177	0.2981640189
178	0.296650783
179	0.2958350699
180	0.295597011
181	0.2949219186
182	0.2945907811
183	0.2940930394
