iter	Passed	Remaining
405	7931	11604
406	7952	11586
407	7971	11566
408	7991	11547
409	8010	11527
410	8031	11509
411	8050	11489
412	8070	11470
413	8090	11451
414	8110	11432
415	8129	11412
416	8149	11394
417	8168	11373
418	8188	11354
419	8207	11334
420	8227	11314
421	8246	11294
422	8265	11274
423	8284	11254
424	8303	11234
425	8323	11215
426	8343	11196
427	8363	11176
428	8382	11156
429	8403	11139
430	8422	11118
431	8441	11099
432	8460	11079
433	8480	11059
434	8499	11039
435	8518	11019
436	8538	11000
437	8557	10979
438	8576	10960
439	8596	10941
440	8616	10921
441	8635	10901
442	8655	10882
443	8674	10862
444	8694	10843
445	8713	10823
446	8733	10804
447	8752	10784
448	8772	10765
449	8792	10745
450	8810	10725
451	8830	10705
452	8850	10687
453	8870	10667
454	8888	10646
455	8910	10630
456	8931	10612
457	8954	10596
458	8974	10578
459	8994	10559
460	9015	10540
461	9036	10523
462	9057	10504
463	9078	10486
464	9097	10467
465	9118	10449
466	9138	10430
467	9158	10411
468	9178	10392
469	9199	10373
470	9219	10354
471	9240	10336
472	9259	10316
473	9279	10297
474	9299	10278
475	9319	10259
476	9340	10240
477	9361	10223
478	9380	10203
479	9400	10183
480	9419	10163
481	9438	10143
482	9456	10122
483	9476	10102
484	9496	10083
485	9515	10063
486	9534	10043
487	9555	10025
488	9574	10005
489	9594	9986
490	9614	9966
491	9634	9948
492	9655	9929
493	9677	9912
494	9698	9893
495	9719	9875
496	9739	9856
497	9758	9836
498	9778	9818
499	9797	9797
500	9818	9779
501	9838	9760
502	9858	9740
503	9877	9721
504	9896	9700
505	9917	9681
506	9938	9664
507	9957	9644
508	9978	9625
509	9999	9607
510	10018	9587
511	10038	9568
512	10059	9549
513	10079	9530
514	10098	9510
515	10118	9490
516	10137	9470
517	10157	9451
518	10177	9432
519	10197	9412
520	10215	9392
521	10235	9372
522	10254	9352
523	10274	9332
524	10293	9312
525	10313	9293
526	10332	9273
527	10351	9253
528	10371	9234
529	10390	9214
530	10410	9194
531	10429	9174
532	10450	9156
533	10468	9135
534	10489	9116
535	10509	9098
536	10529	9078
537	10548	9058
538	10569	9039
539	10588	9019
540	10607	9000
541	10627	8980
542	10647	8961
543	10667	8941
544	10688	8923
545	10709	8904
546	10729	8885
547	10748	8865
548	10769	8846
549	10788	8826
550	10807	8806
551	10828	8788
552	10848	8768
553	10867	8748
554	10886	8728
555	10906	8709
556	10924	8688
557	10944	8669
558	10963	8649
559	10983	8629
560	11002	8609
561	11023	8591
562	11041	8570
563	11061	8551
564	11081	8532
565	11101	8512
566	11120	8492
567	11140	8473
568	11160	8453
569	11179	8433
570	11199	8414
571	11219	8395
572	11239	8375
573	11258	8355
574	11278	8336
575	11296	8315
576	11316	8296
577	11336	8277
578	11355	8256
579	11374	8236
580	11394	8217
581	11413	8197
582	11433	8177
583	11452	8157
584	11473	8139
585	11492	8119
586	11512	8099
587	11531	8080
588	11550	8060
589	11570	8040
590	11589	8020
591	11609	8000
592	11627	7980
593	11647	7960
594	11665	7940
595	11684	7920
596	11703	7900
597	11723	7881
598	11743	7861
599	11762	7841
600	11782	7822
601	11801	7802
602	11820	7782
603	11840	7762
604	11859	7743
605	11878	7722
606	11897	7703
607	11918	7684
608	11937	7664
609	11956	7644
610	11976	7624
611	11995	7604
612	12014	7584
613	12033	7565
614	12052	7544
615	12071	7525
616	12090	7505
617	12111	7486
618	12130	7466
619	12150	7446
620	12169	7426
621	12188	7407
622	12207	7387
623	12227	7367
624	12246	7347
625	12265	7327
626	12285	7308
627	12305	7289
628	12324	7269
629	12344	7249
630	12364	7230
631	12383	7210
632	12403	7191
633	12422	7171
